Q0045|755||
Q0045|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
Q0045|755.05||
Q0050|755||
Q0055|755||
Q0060|755||
Q0065|755||
Q0070|755||
Q0075|755||
Q0080|755||
Q0080|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
Q0080|755.05||
Q0085|755||
Q0085|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
Q0085|755.05||
Q0105|755||
Q0105|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
Q0105|755.05||
Q0110|755||
Q0115|755||
Q0120|755||
Q0130|755||
Q0130|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
Q0130|755.05||
Q0140|755||
Q0140|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
Q0140|755.07||
Q0160|755||
Q0250|755||
Q0250|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
Q0250|755.05||
Q0275|755||
Q0275|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
Q0275|755.05||
RNA_RNase-P|750.05||
YAL001c|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095	
YAL001c|750|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL001c|750.03||
YAL001c|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
YAL002w|765|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL003w|725||
YAL004w|725|902.01.01.03.02,902.01.09.02|11914276
YAL005c|725||
YAL005c|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL005c|725|902.01.01.03.02,902.01.09.02|11914276
YAL005c|750|902.01.01.03.02,902.01.09.02|11914276
YAL007c|722|901.01.01.01,902.01.01.03,902.01.01.04.02,902.01.09.01|12524434
YAL007c|735|902.01.01.03.02,902.01.09.02|11914276
YAL007c|735|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL007c|745.11||11157978,99287733
YAL007c|750.01|902.01.01.03.02,902.01.09.02|11914276
